source,target,weight
32,321,10.0
32,327,2451.0
32,334,300.0
32,343,20.0
32,355,58.0
32,356,797.0
32,358,2278.0
32,379,184151.0
32,381,255.0
32,383,127.0
32,389,311797.0
32,391,292616.0
32,435,1694.0
32,452,84.0
32,478,32815.0
32,485,726.0
32,494,143.0
32,500,327.0
32,507,186.0
32,526,1896.0
32,585,1645.0
32,595,70.0
32,612,7.0
32,622,4.0
32,677,328.0
32,683,75185.0
32,685,39.0
32,686,296.0
32,691,8.0
32,709,37746.0
32,711,102881.0
32,716,58.0
32,718,32.0
32,719,1493.0
32,731,420.0
32,749,486.0
32,757,2.0
32,760,2.0
32,766,25.0
32,874,145.0
32,875,158922.0
32,877,145683.0
32,879,22776.0
32,902,2526.0
32,903,43.0
32,918,413.0
32,964,22366.0
32,978,36321.0
32,982,39571.0
32,989,73303.0
32,994,14.0
32,997,6.0
32,998,44.0
32,1011,653.0
32,1022,348.0
32,1029,168.0
32,1047,32.0
32,1061,1.0
32,1066,62.0
32,1068,76737.0
32,1072,1482.0
32,1162,79535.0
32,1176,709.0
32,1185,276.0
32,1189,1863.0
32,1200,86697.0
32,1201,147.0
32,1231,130.0
32,1240,30864.0
32,1252,7301.0
32,1255,368987.0
32,1264,245.0
32,1297,209.0
32,1304,263.0
32,1313,105.0
32,1320,613.0
32,1322,74.0
32,1353,593.0
32,1359,37.0
32,1372,3232.0
32,1391,76.0
32,1403,70612.0
32,1405,10879.0
32,1408,6.0
32,1413,350.0
32,1426,14.0
32,1433,52715.0
32,1437,22064.0
32,1456,3533.0
32,1457,492.0
32,1470,112717.0
32,1480,8672.0
32,1485,5353.0
32,1517,29530.0
32,1529,1526.0
32,1596,53.0
32,1613,10442.0
32,1628,1849.0
32,1630,50197.0
32,1664,104.0
32,1822,25.0
32,1831,13.0
33,118,11.0
33,1068,20076.0
34,114,2711.0
34,709,1.0
34,766,7231.0
35,114,35302.0
35,598,73.0
35,899,1.0
35,1820,78.0
36,114,801.0
36,123,25.0
36,246,171.0
36,391,9539.0
36,435,337.0
36,500,1732.0
36,711,30850.0
36,731,328.0
36,875,16.0
36,1068,117.0
36,1162,999.0
36,1200,2335.0
36,1252,324.0
36,1255,5055.0
36,1353,12.0
36,1428,8.0
36,1480,293.0
37,114,13125.0
37,356,144.0
37,389,141.0
37,709,18257.0
37,766,37487.0
37,1200,1134.0
37,1433,44.0
37,1613,7.0
38,145,36.0
38,146,8.0
38,215,29505.0
38,348,1.0
38,383,5248.0
38,498,8414.0
38,500,4832.0
38,545,9.0
38,631,4.0
38,651,2.0
38,685,2337.0
38,692,13.0
38,700,6.0
38,702,31819.0
38,749,2.0
38,766,17872.0
38,902,3271.0
38,1037,32.0
38,1090,4017.0
38,1220,6.0
38,1221,18.0
38,1252,3.0
38,1320,3136.0
38,1573,817.0
38,1847,1.0
38,1858,4.0
39,145,50.0
39,335,34.0
39,389,207.0
39,391,45735.0
39,494,73.0
39,536,172.0
39,598,43.0
39,711,13471.0
39,719,230.0
39,872,35.0
39,978,111.0
39,994,86.0
39,1008,256.0
39,1068,32.0
39,1072,111.0
39,1109,48.0
39,1162,89.0
39,1176,174.0
39,1426,28.0
39,1541,230.0
39,1629,49.0
39,1645,35.0
39,1664,99.0
40,32,6.0
40,196,20.0
40,271,601.0
40,877,25936.0
40,1255,2.0
40,1304,3.0
40,1350,1799.0
40,1433,5238.0
40,1437,53116.0
40,1480,6669.0
41,29,2.0
41,60,1355.0
41,75,1478.0
41,114,57181.0
41,117,119.0
41,169,173.0
41,206,233.0
41,215,41512.0
41,218,106.0
41,238,3.0
41,239,2633.0
41,256,736.0
41,258,1812.0
41,272,490.0
41,296,584.0
41,311,4517.0
41,317,2986.0
41,321,1010.0
41,344,336.0
41,353,1110.0
41,356,570.0
41,361,232.0
41,375,855.0
41,381,937.0
41,391,206.0
41,435,19209.0
41,489,807.0
41,508,1575.0
41,526,145183.0
41,560,182.0
41,610,118.0
41,613,773.0
41,618,3431.0
41,635,110.0
41,709,688.0
41,711,279.0
41,716,119.0
41,731,172.0
41,748,1653.0
41,760,50.0
41,780,215.0
41,880,1971.0
41,926,147.0
41,947,46.0
41,970,106.0
41,978,121.0
41,982,138960.0
41,1011,1292.0
41,1022,64.0
41,1043,121.0
41,1066,70.0
41,1068,124.0
41,1072,190.0
41,1101,61230.0
41,1109,87.0
41,1176,88.0
41,1200,569.0
41,1202,100.0
41,1221,6.0
41,1231,21473.0
41,1250,445.0
41,1252,134.0
41,1258,806.0
41,1264,4592.0
41,1320,1345.0
41,1328,709.0
41,1353,2240.0
41,1359,1195.0
41,1368,630.0
41,1374,1000.0
41,1376,1358.0
41,1391,65517.0
41,1405,118.0
41,1406,510.0
41,1426,826.0
41,1462,434.0
41,1463,139.0
41,1517,191.0
41,1549,2202.0
41,1611,883.0
41,1613,50790.0
41,1617,931.0
41,1645,1301.0
41,1698,1.0
41,1785,32.0
41,1795,3482.0
41,1820,402.0
41,1837,4320.0
43,709,62742.0
45,88,2097.0
47,1,9.0
47,6,9.0
47,14,1.0
47,15,76.0
47,68,1018.0
47,70,153.0
47,81,67.0
47,88,65834.0
47,97,25.0
47,99,2.0
47,153,1.0
47,269,60.0
47,392,87.0
47,402,2.0
47,410,1.0
47,440,111.0
47,483,640.0
47,679,449.0
47,743,2.0
47,793,8.0
47,815,93.0
47,820,2509.0
47,825,28.0
47,831,43.0
47,832,2661.0
47,837,4.0
47,839,13.0
47,861,21.0
47,864,424.0
47,1131,90.0
47,1181,3101.0
47,1203,2084.0
47,1307,4.0
47,1465,28.0
47,1477,7.0
47,1547,53.0
47,1609,2.0
47,1653,7.0
47,1715,6.0
49,32,32.0
49,123,25.0
49,126,23.0
49,156,85.0
49,300,31.0
49,311,31.0
49,317,30.0
49,321,25.0
49,389,39.0
49,432,72.0
49,435,134.0
49,452,27.0
49,613,27.0
49,875,25.0
49,976,33.0
49,1011,33.0
49,1016,72.0
49,1022,63.0
49,1111,162.0
49,1118,72.0
49,1133,33.0
49,1279,35.0
49,1280,105.0
49,1328,28.0
49,1517,29.0
49,1602,177.0
49,1795,27.0
49,1837,61.0
50,766,349.0
50,1016,527.0
51,71,103.0
51,236,53.0
51,365,3.0
51,505,2078.0
51,509,16.0
51,567,1.0
51,689,38.0
51,696,71.0
51,787,12.0
51,1040,21.0
51,1145,29.0
51,1346,5.0
51,1536,17.0
51,1557,35.0
52,114,44151.0
52,133,17.0
52,209,868.0
52,256,16.0
52,334,521.0
52,344,7.0
52,345,1035.0
52,371,608.0
52,379,48.0
52,391,32097.0
52,418,214.0
52,420,123.0
52,478,143.0
52,508,220.0
52,588,132.0
52,619,4.0
52,625,2039.0
52,632,334.0
52,685,4.0
52,686,3567.0
52,711,40434.0
52,727,19.0
52,812,542.0
52,936,91.0
52,988,657.0
52,994,17477.0
52,1016,1760.0
52,1068,155.0
52,1185,16.0
52,1200,224.0
52,1279,847.0
52,1361,78.0
52,1402,784.0
52,1404,353.0
52,1405,115.0
52,1411,2.0
52,1430,1083.0
52,1438,6.0
52,1462,318.0
52,1579,1492.0
52,1611,193.0
52,1645,45.0
53,1433,120.0
55,151,3.0
55,685,7.0
56,735,90.0
56,778,923.0
56,877,173.0
57,685,6.0
58,775,1660.0
58,786,2.0
58,1455,13.0
58,1588,3.0
59,766,15739.0
59,1162,17.0
60,41,1372.0
60,114,138679.0
60,117,70.0
60,169,2.0
60,206,17.0
60,217,51.0
60,311,3.0
60,317,86015.0
60,344,8.0
60,356,4.0
60,391,14829.0
60,500,8.0
60,605,6.0
60,609,1079.0
60,612,33.0
60,691,3.0
60,719,124.0
60,899,1.0
60,902,1230.0
60,918,1.0
60,988,2.0
60,994,138.0
60,1004,3.0
60,1022,2.0
60,1109,1.0
60,1139,9.0
60,1252,690.0
60,1374,4.0
60,1406,82.0
60,1426,6.0
60,1435,562.0
60,1450,166.0
60,1664,216.0
60,1752,3.0
60,1837,88.0
62,391,13168.0
62,711,14453.0
62,877,1900.0
62,936,11.0
63,114,3700.0
63,206,201.0
63,234,31.0
63,565,35.0
63,605,62.0
63,623,30.0
63,899,104.0
63,981,4.0
63,1025,26.0
63,1176,33.0
63,1435,44.0
63,1517,29.0
63,1567,31.0
63,1645,26.0
64,155,7.0
64,389,1402.0
64,1263,3.0
65,71,48.0
65,88,45.0
65,113,238.0
65,227,3535.0
65,231,9.0
65,505,58.0
65,1144,36.0
65,1217,13.0
65,1254,71.0
65,1265,61.0
65,1416,15.0
66,88,26.0
66,440,288.0
66,724,8.0
67,91,48.0
67,152,1585.0
67,458,3.0
67,482,5.0
67,604,11.0
67,817,85.0
67,818,25.0
67,836,5.0
67,851,5.0
67,862,39.0
67,1030,5.0
67,1146,3.0
67,1190,5.0
67,1266,4.0
67,1290,13.0
67,1387,9.0
67,1544,14.0
67,1601,77.0
67,1677,9.0
67,1733,8.0
67,1743,2.0
68,47,1112.0
68,81,2.0
68,679,4.0
68,820,16.0
68,832,2.0
68,864,4.0
68,1181,63.0
68,1203,6.0
69,674,22088.0
69,766,4422.0
69,877,255573.0
69,1437,68764.0
70,20,551.0
70,47,157.0
70,68,24.0
70,88,27009.0
70,152,3.0
70,230,86.0
70,264,73.0
70,279,224.0
70,308,9.0
70,402,2128.0
70,421,7.0
70,440,56.0
70,458,4.0
70,464,1203.0
70,587,5.0
70,720,174.0
70,726,260.0
70,793,658.0
70,794,478.0
70,796,493.0
70,803,1.0
70,805,10.0
70,816,2.0
70,819,208.0
70,820,11.0
70,823,11.0
70,826,75.0
70,827,35.0
70,836,17.0
70,838,360.0
70,854,3.0
70,922,16.0
70,1131,1.0
70,1132,28.0
70,1194,34.0
70,1195,28.0
70,1197,47.0
70,1234,2.0
70,1235,15.0
70,1236,13.0
70,1262,655.0
70,1271,363.0
70,1305,5.0
70,1307,669.0
70,1345,4223.0
70,1429,23.0
70,1609,8.0
70,1652,164.0
70,1683,17.0
70,1713,23.0
70,1714,147.0
70,1734,2.0
70,1739,292.0
71,51,16.0
71,65,48.0
71,88,18.0
71,227,114.0
71,231,84.0
71,236,413.0
71,365,8.0
71,505,3110.0
71,689,17.0
71,1144,106.0
71,1207,17.0
71,1217,15.0
71,1265,28.0
71,1370,2.0
71,1416,1.0
71,1446,27.0
71,1536,2.0
71,1659,2.0
71,1721,1.0
71,1722,2.0
72,1004,114.0
73,1780,7.0
75,32,167.0
75,41,1478.0
75,82,2.0
75,106,2960.0
75,114,66451.0
75,117,25.0
75,123,811.0
75,127,21.0
75,134,2.0
75,145,55.0
75,169,878.0
75,176,2.0
75,206,1951.0
75,211,186.0
75,215,5466.0
75,237,367.0
75,239,1488.0
75,240,905.0
75,246,191314.0
75,256,86.0
75,258,13.0
75,293,5.0
75,300,2.0
75,311,46396.0
75,317,104855.0
75,321,29.0
75,344,10.0
75,356,13016.0
75,361,17.0
75,375,40.0
75,379,737.0
75,383,45559.0
75,389,2639.0
75,391,559.0
75,403,7.0
75,435,76428.0
75,452,140.0
75,478,68.0
75,500,53022.0
75,526,40863.0
75,534,3.0
75,576,16.0
75,585,109.0
75,610,116.0
75,612,5.0
75,613,171.0
75,619,71.0
75,683,1836.0
75,685,48.0
75,709,66156.0
75,711,229.0
75,716,13.0
75,731,96.0
75,759,3.0
75,760,494.0
75,766,11982.0
75,778,149.0
75,872,121.0
75,875,45042.0
75,877,294.0
75,902,15136.0
75,972,7.0
75,978,748.0
75,982,96629.0
75,989,67699.0
75,994,294.0
75,1011,136.0
75,1016,59.0
75,1022,82.0
75,1027,19.0
75,1029,12.0
75,1043,6.0
75,1068,25688.0
75,1069,3302.0
75,1072,254.0
75,1101,24.0
75,1161,11.0
75,1162,667.0
75,1172,2131.0
75,1176,56.0
75,1185,61.0
75,1200,115116.0
75,1201,587.0
75,1231,617.0
75,1252,74689.0
75,1255,370.0
75,1264,112.0
75,1277,12.0
75,1328,85.0
75,1353,2841.0
75,1359,81.0
75,1368,111.0
75,1372,397.0
75,1374,3.0
75,1376,116.0
75,1390,35.0
75,1391,1586.0
75,1403,658.0
75,1405,956.0
75,1406,15.0
75,1411,16.0
75,1426,232.0
75,1433,736.0
75,1437,71.0
75,1450,106.0
75,1456,214.0
75,1470,1650.0
75,1480,370.0
75,1485,122.0
75,1517,1932.0
75,1573,4.0
75,1613,42458.0
75,1628,49.0
75,1630,2.0
75,1631,13.0
75,1664,99.0
75,1780,8.0
75,1782,146.0
75,1785,37.0
75,1789,12.0
75,1837,4424.0
76,32,363.0
76,327,5.0
76,677,1.0
78,29,96.0
78,506,105.0
78,610,1.0
78,694,112.0
78,716,29.0
78,1068,22221.0
78,1091,162.0
78,1176,74.0
78,1450,124.0
78,1795,120.0
79,389,6722.0
80,1240,61.0
80,1297,6.0
80,1433,28983.0
81,6,4.0
81,47,93.0
81,68,5.0
81,1465,5.0
82,32,109.0
82,39,59.0
82,123,2034.0
82,169,177.0
82,206,53.0
82,211,5.0
82,239,21.0
82,246,407.0
82,343,255.0
82,379,136121.0
82,389,43912.0
82,391,93547.0
82,452,122.0
82,478,130.0
82,485,734.0
82,526,14.0
82,585,10.0
82,613,134.0
82,683,15102.0
82,686,331.0
82,709,3.0
82,711,48199.0
82,716,37.0
82,719,1057.0
82,749,24.0
82,875,29308.0
82,876,75.0
82,877,937.0
82,879,7.0
82,902,42.0
82,918,103.0
82,964,27.0
82,978,78.0
82,982,377.0
82,989,340.0
82,994,14638.0
82,1068,6.0
82,1072,261.0
82,1162,84.0
82,1176,3.0
82,1185,21.0
82,1189,42.0
82,1240,13.0
82,1252,20.0
82,1255,546.0
82,1353,58.0
82,1403,876.0
82,1405,2790.0
82,1433,15.0
82,1437,126.0
82,1456,29.0
82,1470,166.0
82,1480,8.0
82,1517,606.0
82,1613,207.0
82,1630,1.0
82,1664,150.0
83,500,49944.0
85,114,654.0
85,215,19.0
85,434,11487.0
85,435,1706.0
85,766,76243.0
85,1200,55847.0
86,114,165046.0
86,215,104965.0
86,356,259.0
86,389,4104.0
86,391,44783.0
86,435,302181.0
86,500,142959.0
86,709,138492.0
86,711,143559.0
86,766,251188.0
86,877,107510.0
86,982,39859.0
86,994,61646.0
86,1016,1092.0
86,1068,224955.0
86,1189,1.0
86,1200,126330.0
86,1240,56119.0
86,1252,41457.0
86,1433,103706.0
86,1437,107099.0
87,735,79.0
87,778,375.0
87,1078,36.0
88,11,9.0
88,32,29.0
88,45,1978.0
88,47,65790.0
88,65,46.0
88,66,10.0
88,70,26469.0
88,71,15.0
88,91,8450.0
88,94,181.0
88,114,19805.0
88,116,8.0
88,152,55993.0
88,156,366.0
88,174,10.0
88,227,16227.0
88,231,23.0
88,242,89.0
88,264,5241.0
88,269,14722.0
88,321,87.0
88,372,7.0
88,383,753.0
88,389,41805.0
88,391,22260.0
88,402,24290.0
88,426,209.0
88,435,11775.0
88,440,23947.0
88,445,70.0
88,447,18.0
88,464,5.0
88,475,3.0
88,482,396.0
88,483,78596.0
88,500,12059.0
88,505,213644.0
88,506,1.0
88,509,1.0
88,543,9949.0
88,553,241.0
88,567,172.0
88,573,480.0
88,596,62.0
88,674,36656.0
88,679,24655.0
88,711,52288.0
88,720,40.0
88,724,70.0
88,726,3674.0
88,766,345.0
88,775,70040.0
88,787,3.0
88,803,73.0
88,806,2.0
88,813,699.0
88,820,32.0
88,826,301.0
88,827,9.0
88,830,2.0
88,832,1.0
88,836,6.0
88,844,4097.0
88,847,12318.0
88,849,4.0
88,854,31.0
88,860,220.0
88,875,628.0
88,877,21622.0
88,949,7.0
88,977,4044.0
88,978,353.0
88,982,223.0
88,1022,31.0
88,1030,5.0
88,1047,1.0
88,1068,131028.0
88,1102,4.0
88,1117,546.0
88,1121,15.0
88,1129,38.0
88,1132,124.0
88,1139,1249.0
88,1144,11.0
88,1145,9.0
88,1171,9076.0
88,1186,29433.0
88,1200,93501.0
88,1217,25602.0
88,1224,27.0
88,1228,2.0
88,1236,54.0
88,1240,85926.0
88,1243,2.0
88,1252,14333.0
88,1255,40782.0
88,1265,8.0
88,1268,32.0
88,1284,335.0
88,1300,2277.0
88,1305,31.0
88,1307,6.0
88,1310,29.0
88,1315,2.0
88,1346,7.0
88,1349,6979.0
88,1354,43.0
88,1383,2.0
88,1387,23.0
88,1391,52.0
88,1416,29108.0
88,1429,3809.0
88,1433,652416.0
88,1437,19438.0
88,1451,13.0
88,1455,12046.0
88,1466,12.0
88,1470,70376.0
88,1476,16.0
88,1489,3036.0
88,1514,495.0
88,1528,5.0
88,1539,6.0
88,1574,5.0
88,1597,3.0
88,1609,29.0
88,1613,3.0
88,1614,35865.0
88,1660,6321.0
88,1677,36.0
88,1683,15223.0
88,1716,59.0
88,1718,2.0
88,1736,1996.0
88,1762,3256.0
88,1773,101.0
88,1774,7.0
88,1809,236.0
88,1819,12.0
88,1822,11089.0
88,1830,166.0
88,1837,26.0
89,149,31.0
89,246,30.0
89,1016,37.0
89,1353,66.0
89,1374,27.0
89,1596,61.0
89,1785,33.0
91,10,2.0
91,67,40.0
91,88,7950.0
91,94,461.0
91,152,2253.0
91,297,415.0
91,308,451.0
91,458,1.0
91,482,1.0
91,557,15.0
91,567,32.0
91,647,811.0
91,684,4.0
91,806,704.0
91,816,1.0
91,817,15.0
91,818,1441.0
91,835,3.0
91,844,152.0
91,862,3.0
91,951,4.0
91,977,54.0
91,1030,17.0
91,1121,4.0
91,1145,1.0
91,1354,71.0
91,1387,468.0
91,1451,499.0
91,1476,274.0
91,1505,128.0
91,1601,36.0
91,1660,49.0
91,1672,20.0
92,1221,1.0
93,114,5489.0
93,145,66.0
93,317,4070.0
93,391,72.0
93,500,28274.0
93,766,12250.0
93,1016,38721.0
93,1201,1.0
93,1462,18010.0
94,88,203.0
94,91,452.0
94,152,18.0
94,505,7.0
94,567,5.0
94,647,43.0
94,806,32.0
94,818,8.0
94,844,1.0
94,851,1.0
94,977,20.0
94,1030,1.0
94,1145,1.0
94,1451,20.0
94,1476,2.0
96,709,4293.0
96,780,2.0
97,47,19.0
98,181,1.0
98,240,3.0
98,877,2.0
98,1822,6.0
98,1831,1.0
98,1837,4.0
99,240,29.0
99,877,4.0
99,1618,6.0
99,1822,16.0
100,1795,3.0
101,303,16.0
101,435,8607.0
101,534,7.0
102,674,1456.0
102,877,12350.0
104,231,13.0
104,236,2.0
104,273,4.0
104,302,2.0
104,365,4.0
104,505,1565.0
104,509,9.0
104,564,244.0
104,696,1.0
104,743,5.0
104,1684,186.0
104,1721,7.0
105,164,4.0
105,215,6.0
105,311,168.0
105,435,155.0
105,500,122683.0
105,766,29102.0
105,899,4.0
105,1200,71321.0
105,1231,4.0
106,75,2177.0
106,692,3.0
107,526,675.0
107,1016,14.0
107,1138,72.0
107,1231,11128.0
108,114,3618.0
108,123,5.0
108,240,34.0
108,311,9.0
108,389,178605.0
108,494,2.0
108,506,1.0
108,711,103.0
108,758,1.0
108,877,15019.0
108,978,3.0
108,1200,16989.0
108,1403,4.0
108,1408,7.0
108,1437,4066.0
108,1456,2.0
108,1470,3762.0
108,1573,11.0
108,1630,9.0
108,1698,1.0
108,1837,4.0
110,1240,1381.0
110,1408,2.0
110,1822,2.0
112,114,30863.0
112,145,211.0
112,149,4.0
112,215,5.0
112,500,28519.0
112,766,73663.0
112,1016,6.0
112,1200,820.0
112,1252,23465.0
112,1437,55.0
112,1573,13.0
112,1613,381.0
113,65,250.0
113,227,2100.0
113,231,40.0
113,236,2.0
113,505,6.0
113,1144,46.0
113,1265,49.0
113,1416,6.0
114,29,36918.0
114,32,134143.0
114,34,3518.0
114,35,34281.0
114,36,894.0
114,37,12302.0
114,41,56953.0
114,52,44847.0
114,60,132662.0
114,63,2713.0
114,75,67896.0
114,85,832.0
114,86,166498.0
114,88,20198.0
114,93,4733.0
114,108,4159.0
114,112,30872.0
114,117,18093.0
114,119,70141.0
114,123,226979.0
114,126,126386.0
114,142,56981.0
114,144,35935.0
114,145,238229.0
114,149,224.0
114,162,4587.0
114,169,256202.0
114,173,79.0
114,187,55750.0
114,189,47.0
114,204,166637.0
114,206,279967.0
114,209,48813.0
114,211,2.0
114,213,3931.0
114,214,8165.0
114,215,735025.0
114,217,29573.0
114,226,54942.0
114,228,25614.0
114,234,118163.0
114,239,313370.0
114,246,670190.0
114,250,17761.0
114,251,8240.0
114,256,170728.0
114,257,4897.0
114,258,245533.0
114,262,48291.0
114,266,259909.0
114,285,130.0
114,287,23.0
114,290,119269.0
114,293,41524.0
114,296,326492.0
114,311,178479.0
114,313,35.0
114,317,738729.0
114,321,345624.0
114,334,50881.0
114,336,40332.0
114,344,62864.0
114,345,46362.0
114,353,256391.0
114,354,2877.0
114,356,247717.0
114,364,257.0
114,371,64.0
114,373,17982.0
114,375,171907.0
114,379,143.0
114,381,304763.0
114,383,819339.0
114,388,314.0
114,389,744514.0
114,391,1047132.0
114,396,40576.0
114,403,25.0
114,432,51024.0
114,435,650570.0
114,436,61681.0
114,439,56839.0
114,444,81527.0
114,452,84666.0
114,462,12762.0
114,478,80814.0
114,494,28.0
114,496,40490.0
114,499,36326.0
114,500,480035.0
114,502,86721.0
114,503,65478.0
114,505,1171.0
114,508,117098.0
114,510,1457.0
114,512,82222.0
114,513,166.0
114,526,1138775.0
114,527,28290.0
114,534,226510.0
114,538,7536.0
114,539,9484.0
114,543,142795.0
114,545,222.0
114,548,2664.0
114,560,31160.0
114,576,34447.0
114,579,48662.0
114,585,751.0
114,591,1845.0
114,594,62470.0
114,595,99.0
114,605,96657.0
114,609,155657.0
114,610,144.0
114,612,32773.0
114,613,87878.0
114,615,74680.0
114,618,176421.0
114,619,159189.0
114,623,18089.0
114,625,49829.0
114,626,1121.0
114,632,13506.0
114,648,9839.0
114,655,20683.0
114,665,289.0
114,674,99030.0
114,683,323936.0
114,685,197451.0
114,686,2255.0
114,691,171787.0
114,709,436406.0
114,711,384598.0
114,715,115578.0
114,716,163110.0
114,727,93607.0
114,731,414731.0
114,735,118.0
114,750,667.0
114,758,9127.0
114,759,150114.0
114,760,690018.0
114,766,308478.0
114,774,92528.0
114,778,292.0
114,812,19695.0
114,875,722552.0
114,877,930587.0
114,899,129508.0
114,901,41410.0
114,902,1113663.0
114,903,65.0
114,908,72491.0
114,910,143318.0
114,914,68764.0
114,916,50561.0
114,918,152856.0
114,930,58850.0
114,941,150.0
114,953,5959.0
114,959,36558.0
114,963,55937.0
114,966,59145.0
114,967,10850.0
114,970,185617.0
114,978,404752.0
114,981,1186.0
114,982,1295182.0
114,988,88224.0
114,989,451952.0
114,992,16421.0
114,994,440946.0
114,997,134667.0
114,998,492.0
114,1001,23426.0
114,1004,97745.0
114,1011,36359.0
114,1016,744299.0
114,1022,393444.0
114,1023,2.0
114,1025,452.0
114,1027,128180.0
114,1029,160170.0
114,1033,35070.0
114,1038,4902.0
114,1043,117652.0
114,1065,8189.0
114,1066,2500.0
114,1068,702005.0
114,1072,543863.0
114,1075,2846.0
114,1081,27804.0
114,1082,67838.0
114,1094,37238.0
114,1101,120420.0
114,1109,149309.0
114,1112,207.0
114,1113,211.0
114,1139,95176.0
114,1161,53152.0
114,1162,15139.0
114,1171,736.0
114,1176,113425.0
114,1185,94183.0
114,1189,74628.0
114,1200,641052.0
114,1201,261124.0
114,1219,162.0
114,1227,1101.0
114,1231,544919.0
114,1240,166491.0
114,1243,2146.0
114,1244,44308.0
114,1251,274144.0
114,1252,777720.0
114,1255,560380.0
114,1256,133.0
114,1259,124.0
114,1264,429684.0
114,1270,22761.0
114,1277,386832.0
114,1280,9966.0
114,1281,1133.0
114,1293,12533.0
114,1308,62.0
114,1312,45868.0
114,1313,320.0
114,1316,50396.0
114,1320,102199.0
114,1322,19733.0
114,1328,85862.0
114,1353,588141.0
114,1359,414358.0
114,1372,516.0
114,1374,63899.0
114,1375,1756.0
114,1376,218781.0
114,1391,512592.0
114,1392,7450.0
114,1402,39785.0
114,1403,351705.0
114,1404,28283.0
114,1405,465836.0
114,1406,315070.0
114,1411,33758.0
114,1421,54924.0
114,1426,197157.0
114,1430,34473.0
114,1433,477389.0
114,1437,545914.0
114,1438,46260.0
114,1450,57334.0
114,1452,2.0
114,1454,5375.0
114,1456,45514.0
114,1457,24340.0
114,1460,95095.0
114,1462,327407.0
114,1463,4234.0
114,1470,503767.0
114,1480,97230.0
114,1485,185326.0
114,1488,240.0
114,1504,332119.0
114,1517,418695.0
114,1520,58539.0
114,1522,96464.0
114,1523,11546.0
114,1525,83.0
114,1534,21178.0
114,1540,20381.0
114,1543,27829.0
114,1548,9367.0
114,1549,85256.0
114,1555,1021.0
114,1573,2.0
114,1579,18457.0
114,1596,152734.0
114,1602,64062.0
114,1613,927578.0
114,1617,86599.0
114,1628,80968.0
114,1629,4957.0
114,1630,103855.0
114,1645,155279.0
114,1656,35828.0
114,1664,11397.0
114,1671,40486.0
114,1679,16187.0
114,1696,41314.0
114,1700,157630.0
114,1735,71.0
114,1752,70668.0
114,1773,5.0
114,1783,643.0
114,1799,32.0
114,1820,78718.0
114,1822,4686.0
114,1836,199.0
114,1837,166494.0
114,1847,57730.0
115,152,1886.0
115,458,12.0
115,482,2.0
115,604,6.0
115,816,13.0
115,817,16.0
115,818,4.0
115,836,1.0
115,851,37.0
115,862,40.0
115,1146,27.0
115,1190,13.0
115,1266,28.0
115,1601,2.0
115,1609,6.0
115,1733,10.0
115,1743,9.0
115,1746,3.0
116,88,8.0
116,440,6.0
117,41,121.0
117,114,18403.0
117,123,7.0
117,206,89.0
117,215,44.0
117,239,10.0
117,256,33.0
117,258,31.0
